,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Bernardo Silva,,,,,,,,,,,0,,5,0,23,6,7,"1,374",40.41,39,34,36,50%,,23,24,12,6,,129,110,112,40,14,24,8,72,24%,1,2,1,0,5,2,0.18,0,0,52,15,29%,6
David Silva,,,,,,,,,,,0,,0,0,20,6,10,"1,483",54.93,30,27,26,54%,,15,13,5,1,,86,86,85,33,7,20,11,33,9%,12,3,0,1,5,1,0.22,0,2,47,18,38%,4
Fernandinho,,,,,,,,,,,0,,7,2,26,0,1,"2,222",74.07,133,30,50,70%,,4,25,80,50,,148,154,96,13,74,49,0,4,0%,0,1,0,0,0,1,0.00,0,0,17,2,12%,0
Riyad Mahrez,,,,,,,,,,,,,0,0,13,11,9,"1,097",33.24,,33,28,,,23,18,7,1,,,,,,,,18,88,,,13,0,3,8,1,0.33,1,2,74,32,43%,5
Oleksandr Zinchenko,,,,,,,,,,,1,,0,1,13,0,0,"1,210",63.68,32,19,31,61%,,7,17,19,13,,82,62,64,3,26,22,2,52,25%,1,1,0,0,0,0,0.00,0,0,16,3,19%,0
Phil Foden,,,,,,,,,,,,,0,0,12,5,2,494,21.48,,23,14,,,8,6,2,1,,,,,,,,0,29,,,1,0,1,4,0,0.22,0,0,34,15,44%,1
Felix Nmecha,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Claudio Gomes,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Adrián Bernabé,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Ian Poveda-Ocampo,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Raheem Sterling,,,,,,,,,,,,,5,0,30,20,1,"1,168",35.39,,33,27,,,31,15,4,3,,,,,,,,9,48,,,12,3,11,6,4,0.61,0,0,99,38,38%,19
Sergio Agüero,,,,,,,,,,,,,1,0,9,16,3,354,14.75,,24,7,,,22,3,2,0,,,,,,,,4,9,,,6,2,12,2,5,0.67,2,0,76,28,37%,12
Leroy Sané,,,,,,,,,,,0,,0,0,0,0,0,7,7.00,0,1,0,0%,,1,0,0,0,,1,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,2,0,0%,0
