,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Paul Pogba,,,,,,,,,,,1,,1,0,26,1,3,"1,034",64.63,94,16,20,45%,,5,7,10,7,,109,94,85,27,29,11,3,6,17%,10,2,0,1,0,0,0.06,0,0,22,8,36%,3
Juan Mata,,,,,,,,,,,0,,1,0,7,0,2,511,26.89,21,19,7,43%,,2,0,1,0,,33,24,32,5,2,6,3,23,30%,4,4,0,0,0,0,0.00,0,0,10,2,20%,1
Jesse Lingard,,,,,,,,,,,0,,3,0,28,1,0,391,17.77,4,22,15,53%,,10,3,0,0,,37,41,72,13,2,12,1,7,0%,4,0,0,0,1,0,0.05,0,0,22,6,27%,2
Andreas Pereira,,,,,,,,,,,0,,3,0,27,1,3,703,28.12,30,25,24,54%,,9,7,5,1,,85,70,142,20,10,34,6,65,15%,2,3,0,0,1,0,0.04,0,0,37,14,38%,1
Fred,,,,,,,,,,,0,,8,0,42,0,0,"1,668",57.52,110,29,60,53%,,10,38,27,7,,234,145,172,40,9,19,3,63,22%,3,1,0,0,0,1,0.00,0,0,40,10,25%,0
Ander Herrera,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Nemanja Matic,,,,,,,,,,,0,,3,0,27,6,2,"1,265",60.24,46,21,46,52%,,2,22,26,16,,146,110,93,20,29,23,0,3,67%,2,0,0,2,0,1,0.03,0,0,7,2,29%,0
James Garner,,,,,,,,,,,0,,0,0,0,0,0,14,14.00,1,1,0,0%,,0,0,1,0,,1,1,1,0,0,0,0,0,0%,0,0,0,0,0,0,2,0,0,0,0,0%,0
Scott McTominay,,,,,,,,,,,1,,2,0,36,4,1,"1,011",37.44,62,27,43,51%,,12,31,33,20,,147,170,124,31,44,31,2,14,21%,2,0,0,3,1,0,0.15,0,0,29,10,34%,1
Tahith Chong,,,,,,,,,,,,,0,0,2,0,0,14,4.67,,3,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,1,0,0%,0
