,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Max Aarons,,,,,,,,,5,71,0,0,7,0,29,0,1,"1,339",37.19,38,36,48,63%,0,6,37,73,28,2,178,167,175,48,22,50,7,73,22%,0,3,0,0,0,0,,,,,,,
Timi Odusina,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Ben Godfrey,,,,,,,,,,,0,,3,1,15,0,0,"1,660",55.33,95,30,22,64%,,0,25,148,76,,162,105,70,8,66,42,0,3,0%,1,0,0,0,0,2,0.00,0,0,15,6,40%,1
Mario Vrancic,,,,,,,,,,,1,,3,0,13,1,0,452,22.60,16,20,27,59%,,5,10,3,2,,46,53,46,5,8,9,1,6,0%,3,1,0,1,0,0,0.05,0,0,14,3,21%,2
Moritz Leitner,,,,,,,,,,,0,,1,0,8,0,0,563,62.56,19,9,16,56%,,2,9,8,2,,56,38,36,7,5,4,0,5,20%,1,0,0,0,0,2,0.00,0,0,8,0,0%,0
Emiliano Buendía,,,,,,,,,,,2,,6,1,36,1,7,"1,407",39.08,90,36,82,48%,,13,23,24,10,,187,267,286,102,29,51,9,164,25%,17,2,0,0,1,0,0.03,0,0,40,11,28%,1
Marco Stiepermann,,,,,,,,,,,0,,6,0,22,0,0,404,16.83,9,24,20,40%,,7,5,16,12,,56,67,127,17,15,56,1,6,0%,5,0,0,0,0,1,0.00,0,0,19,6,32%,0
Tom Trybull,,,,,,,,,,,0,,2,0,26,0,0,615,38.44,27,16,39,64%,,3,16,32,14,,63,79,92,6,24,15,0,0,0%,0,2,0,0,0,0,0.00,0,0,11,2,18%,0
Kenny McLean,,,,,,,,,,,1,,5,0,24,1,1,"1,680",45.41,81,37,44,66%,,7,38,64,47,,191,225,197,31,96,96,5,53,21%,9,1,1,0,0,2,0.03,0,0,30,10,33%,0
Onel Hernández,,,,,,,,,,,0,,0,0,14,1,2,311,11.96,2,26,27,70%,,12,19,9,2,,75,93,132,42,6,29,0,26,4%,0,8,0,1,0,1,0.04,0,0,29,8,28%,2
Alexander Tettey,,,,,,,,,,,0,,5,0,21,1,1,"1,293",43.10,47,30,23,78%,,10,43,67,28,,165,80,89,15,36,29,1,4,25%,1,0,0,0,1,2,0.03,0,0,23,4,17%,0
Louis Thompson,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Todd Cantwell,,,,,,,,,,,1,,6,0,33,6,2,"1,065",28.78,30,37,51,61%,,13,18,28,6,,148,182,194,49,20,39,1,24,4%,3,3,0,5,1,0,0.16,0,0,42,16,38%,3
Alfie Payne,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Jordan Rhodes,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
